	Date	Amount
290	2017-06-18	446
291	2017-06-19	549
292	2017-06-20	580
293	2017-06-21	574
294	2017-06-22	568
295	2017-06-23	569
296	2017-06-24	782
297	2017-06-25	631
298	2017-06-26	765
299	2017-06-27	627
300	2017-06-28	634
301	2017-06-29	727
302	2017-06-30	633
303	2017-07-01	819
304	2017-07-02	483
305	2017-07-03	544
306	2017-07-04	604
307	2017-07-05	564
308	2017-07-06	477
309	2017-07-07	570
310	2017-07-08	619
311	2017-07-09	544
312	2017-07-10	428
313	2017-07-11	443
314	2017-07-12	415
315	2017-07-13	466
316	2017-07-14	642
317	2017-07-15	606
318	2017-07-16	683
319	2017-07-17	569
320	2017-07-18	546
321	2017-07-19	641
322	2017-07-20	630
323	2017-07-21	607
324	2017-07-22	595
325	2017-07-23	528
326	2017-07-24	564
327	2017-07-25	619
328	2017-07-26	555
329	2017-07-27	634
330	2017-07-28	616
331	2017-07-29	631
332	2017-07-30	553
333	2017-07-31	580
334	2017-08-01	531
335	2017-08-02	555
336	2017-08-03	644
337	2017-08-04	568
338	2017-08-05	665
339	2017-08-06	636
340	2017-08-07	566
341	2017-08-08	465
342	2017-08-09	497
343	2017-08-10	546
344	2017-08-11	706
345	2017-08-12	622
346	2017-08-13	524
347	2017-08-14	635
348	2017-08-15	566
349	2017-08-16	552
350	2017-08-17	574
351	2017-08-18	569
352	2017-08-19	563
353	2017-08-20	486
354	2017-08-21	533
355	2017-08-22	482
356	2017-08-23	676
357	2017-08-24	543
358	2017-08-25	649
359	2017-08-26	595
360	2017-08-27	497
361	2017-08-28	547
362	2017-08-29	577
363	2017-08-30	529
364	2017-08-31	569
